"","HOUSING_COUNTY","January","February","March","April","May","June","July","August","September","October","November","December"
"1","ANDERSON",8,24,24,25,25,25,25,25,25,25,24,16
"2","ARCHER",0,6,18,21,21,21,21,21,21,21,6,0
"3","ARMSTRONG",5,5,5,5,5,5,0,0,0,0,0,0
"4","ATASCOSA",126,152,175,178,178,178,139,139,109,94,80,88
"5","AUSTIN",5,5,5,5,5,3,3,3,4,4,4,2
"6","BAILEY",10,0,0,0,0,0,0,0,0,0,0,0
"7","BANDERA",0,2,6,6,10,10,10,10,10,10,6,4
"8","BASTROP",3,53,53,59,59,59,59,59,59,59,59,56
"9","BEE",17,21,29,29,29,29,11,4,4,4,4,20
"10","BELL",7,11,14,14,14,14,14,14,14,14,7,14
"11","BEXAR",14,44,49,49,50,50,82,82,109,79,20,1
"12","BLANCO",10,19,19,19,19,29,19,19,19,19,9,6
"13","BOSQUE",0,12,12,12,12,12,12,12,12,12,12,0
"14","BRAZORIA",64,95,108,107,97,114,106,96,103,103,101,74
"15","BRAZOS",0,16,18,18,18,125,125,149,92,92,35,26
"16","BREWSTER",0,4,4,4,4,4,4,4,4,4,4,0
"17","BRISCOE",0,0,2,2,2,2,2,2,2,2,2,2
"18","BROOKS",2,2,2,2,2,2,0,0,1,1,1,1
"19","BROWN",7,7,11,11,11,11,11,4,10,10,10,10
"20","BURLESON",0,0,6,6,6,6,6,6,6,6,6,0
"21","BURNET",5,5,4,4,7,7,7,7,9,9,7,5
"22","CALLAHAN",0,0,12,12,12,12,12,12,12,12,12,12
"23","CAMERON",0,17,17,17,17,17,17,17,17,17,17,0
"24","CAMP",0,0,8,8,8,8,8,8,0,0,0,0
"25","CARSON",11,8,18,25,21,21,21,21,23,30,30,21
"26","CASTRO",94,53,125,119,119,119,121,121,123,123,127,126
"27","CHAMBERS",26,26,35,35,35,32,32,35,35,35,35,15
"28","CHEROKEE",24,40,64,64,64,64,24,24,34,34,14,14
"29","CLAY",12,12,16,23,31,41,29,29,33,38,44,41
"30","COKE",0,0,0,0,0,0,0,0,0,0,3,3
"31","COLLIN",58,85,57,91,91,91,79,79,86,86,98,74
"32","COLLINGSWORTH",4,4,0,0,0,0,0,0,4,4,4,4
"33","COLORADO",13,17,11,11,11,30,30,30,30,30,30,26
"34","COMAL",0,12,12,12,12,12,12,12,12,12,12,0
"35","COMANCHE",16,24,67,67,72,72,78,78,78,83,83,91
"36","CONCHO",5,3,3,0,0,0,0,0,0,0,0,2
"37","COOKE",15,15,15,15,15,15,0,0,0,0,0,15
"38","CORYELL",8,26,34,34,34,34,28,28,35,35,33,26
"39","CROCKETT",26,26,26,28,27,27,21,22,23,7,23,23
"40","CROSBY",6,2,2,3,3,3,3,3,7,9,9,9
"41","CULBERSON",22,22,22,22,17,17,17,17,17,0,36,36
"42","DALLAM",213,347,495,544,620,630,498,874,1064,1064,658,418
"43","DALLAS",0,0,1,16,16,16,16,16,16,16,16,0
"44","DAWSON",1,1,5,4,4,4,4,4,4,8,8,9
"45","DEAF SMITH",0,0,1,16,16,16,16,16,16,16,16,15
"46","DENTON",54,52,59,103,103,103,103,103,98,99,14,15
"47","DEWITT",8,10,20,20,20,20,20,20,20,9,3,1
"48","DIMMIT",25,25,31,33,33,33,15,14,32,32,28,8
"49","DUVAL",5,9,9,9,9,9,4,9,9,9,9,5
"50","EDWARDS",5,5,6,6,6,6,6,6,6,6,4,4
"51","EL PASO",0,2,2,2,2,2,2,2,2,2,2,0
"52","ELLIS",9,22,22,22,22,22,21,21,21,21,21,13
"53","ERATH",1,5,9,8,8,8,8,28,28,28,24,3
"54","FALLS",3,4,4,4,5,5,5,5,9,6,6,5
"55","FANNIN",9,9,13,13,13,13,13,4,13,13,13,13
"56","FAYETTE",3,3,3,3,3,3,3,3,3,3,3,0
"57","FISHER",0,0,0,0,0,0,0,0,0,2,2,2
"58","FLOYD",0,3,3,3,3,3,3,3,3,3,3,3
"59","FORT BEND",6,20,20,20,26,20,25,37,37,37,37,24
"60","FRANKLIN",0,0,0,0,2,2,2,2,2,0,0,0
"61","FREESTONE",1,1,1,1,1,1,0,1,1,1,1,1
"62","FRIO",85,139,75,70,164,248,233,216,216,225,145,66
"63","GAINES",12,10,28,34,34,30,30,28,36,38,38,38
"64","GILLESPIE",11,19,30,37,43,43,43,36,36,32,6,3
"65","GLASSCOCK",26,27,34,34,34,48,48,25,24,40,40,37
"66","GOLIAD",0,2,2,2,2,2,2,2,2,2,2,0
"67","GONZALES",0,20,20,26,26,26,26,26,26,6,6,6
"68","GRAY",0,4,4,4,4,4,4,4,4,4,4,4
"69","GRAYSON",6,17,17,23,23,23,23,23,23,25,25,8
"70","GREGG",0,0,0,0,0,0,0,0,0,0,0,57
"71","GRIMES",66,10,102,227,227,227,227,227,221,221,227,225
"72","GUADALUPE",0,8,8,8,8,8,8,8,8,8,4,0
"73","HALE",14,3,5,16,16,17,19,143,144,154,154,154
"74","HAMILTON",4,4,8,8,4,4,8,10,10,10,6,6
"75","HANSFORD",8,12,12,22,14,22,22,22,22,22,22,18
"76","HARDEMAN",0,0,205,205,235,235,235,235,235,235,235,235
"77","HARDIN",25,30,90,90,90,87,87,75,75,11,10,10
"78","HARRIS",3,10,10,10,7,7,11,11,11,19,19,52
"79","HARTLEY",23,38,70,70,73,73,73,68,79,84,65,27
"80","HASKELL",0,0,0,0,0,5,5,5,5,5,5,5
"81","HAYS",29,31,37,37,37,37,37,37,37,52,21,15
"82","HENDERSON",20,20,29,29,29,9,9,29,29,29,29,20
"83","HIDALGO",48,62,66,234,250,202,4,4,4,4,34,87
"84","HILL",6,13,10,10,12,12,12,16,16,16,16,13
"85","HOCKLEY",0,0,0,0,0,0,0,0,0,5,5,5
"86","HOOD",0,0,7,10,10,10,10,10,10,10,10,10
"87","HOPKINS",30,30,45,55,55,55,55,55,55,0,0,0
"88","HOUSTON",12,16,19,19,19,19,13,13,13,13,16,9
