HOUSING_COUNTY,January,February,March,April,May,June,July,August,September,October,November,December,farmworker_towns,x5_2019_population_estimate,fully_vacci ted,percent_of_fully_vacci ted,below_50_pct
DALLAM,213,347,495,544,620,630,498,874,1064,1064,658,418,"Texline, Coldwater, Dalhart",6406,3042,0.474867312,1
UVALDE,101,129,267,298,298,298,290,57,63,78,75,47, ,24949,14435,0.578580304,0
PECOS,79,99,132,269,271,281,284,271,275,293,259,131, ,14024,9395,0.669922989,0
FRIO,85,139,75,70,164,248,233,216,216,225,145,66, ,17882,13963,0.780841069,0
MATAGORDA,36,223,240,249,247,245,249,249,245,245,157,31, ,33747,17274,0.511867722,0
HARDEMAN,0,0,205,205,235,235,235,235,235,235,235,235,"Qua h, Chillicothe",3606,1774,0.491957848,1
LEE,55,160,162,162,160,235,115,200,247,247,272,272,"Lexington, Lincohn, Hills, Old Dime Box, Giddings",16285,8018,0.492354928,1
GRIMES,66,10,102,227,227,227,227,227,221,221,227,225, ,27714,15944,0.5753049,0
HIDALGO,48,62,66,234,250,202,4,4,4,4,34,87, ,817182,682322,0.834969444,0
MOORE,44,68,82,94,105,200,270,260,269,272,105,76,"Sunray, Dumas, Cactus",19398,9378,0.483451902,1
ATASCOSA,126,152,175,178,178,178,139,139,109,94,80,88, ,47256,25255,0.53442949,0
PRESIDIO,4,2,139,139,139,139,138,138,138,138,138,273, ,6032,6400,1.061007958,0
BRAZOS,0,16,18,18,18,125,125,149,92,92,35,26, ,217072,118204,0.544538218,0
CASTRO,94,53,125,119,119,119,121,121,123,123,127,126,Hart and Dimmitt,6820,3191,0.467888563,1
BRAZORIA,64,95,108,107,97,114,106,96,103,103,101,74, ,355761,218516,0.614221345,0
WALLER,100,103,113,113,113,113,113,113,119,119,119,6,"Hempstead, Brookshire, Prairie View, Pattison, Pine Island",51962,23726,0.456602902,1
DENTON,54,52,59,103,103,103,103,103,98,99,14,15, ,834832,548975,0.657587395,0
COLLIN,58,85,57,91,91,91,79,79,86,86,98,74, ,967431,696665,0.720118541,0
HARDIN,25,30,90,90,90,87,87,75,75,11,10,10,"Kountze, Silsbee, Lumberton, Wildwood",55903,21833,0.390551491,1
RUNNELS,88,91,61,97,58,78,78,116,124,133,133,133,"Winter, Miles, Ballinger",9471,4563,0.481786506,1
SMITH,32,32,77,77,78,78,78,78,78,33,7,5, ,215837,108230,0.501443219,0
SHERMAN,46,75,63,77,77,77,77,79,79,79,56,36,Stratford,2857,1004,0.351417571,1
LIBERTY,72,75,75,75,75,75,67,67,67,67,60,7,"Liberty, Dayton, Cleveland, Hardin, Daisetta, Plum Grove, Devers, Ames, Hull, Kenefick, Dayton Lakes, North Cleveland, Big Thickett Lake Estates",84625,39539,0.467225997,1
HARTLEY,23,38,70,70,73,73,73,68,79,84,65,27,Cahnning and Hartley,5549,2647,0.477022887,1
COMANCHE,16,24,67,67,72,72,78,78,78,83,83,91,DeLeon Comanche,13006,6172,0.474550208,1
WARD,72,72,72,72,72,72,72,2,82,80,82,82,"Barstow, Pyote, Grandfalls, Wickett, Thorntonville",10610,4308,0.406032045,1
ORANGE,55,65,65,69,69,69,69,69,69,69,69,14,Orange,77404,30079,0.388597489,1
CHEROKEE,24,40,64,64,64,64,24,24,34,34,14,14,"Rusk, Jacksonville, Alto, New Summerfield, Gallatin, Cuney, Wells, Weeping Mary, Shadybrook",49968,21203,0.424331572,1
VAN ZANDT,50,50,58,16,16,62,54,54,68,68,68,68,"Canton, Van, Wills Point, Grand Saline, Edgewood, Fruitvale, Edom, Myrtle Springs",52820,21133,0.400094661,1
BASTROP,3,53,53,59,59,59,59,59,59,59,59,56, ,83906,50566,0.602650585,0
HOPKINS,30,30,45,55,55,55,55,55,55,0,0,0,"Sulphur Springs, Cumby, Como, Tira",35038,14824,0.423083509,1
TRAVIS,33,56,56,56,56,53,53,56,56,56,56,3, ,1191050,885304,0.743297091,0
BEXAR,14,44,49,49,50,50,82,82,109,79,20,1, ,1853626,1287375,0.694517125,0
GLASSCOCK,26,27,34,34,34,48,48,25,24,40,40,37,Garden City,1284,614,0.478193146,1
JACKSON,6,28,36,38,38,44,46,46,46,46,42,15,"Ga do, La Ward, Lolita, Vanderbilt, Ed ",13505,6616,0.489892632,1
GILLESPIE,11,19,30,37,43,43,43,36,36,32,6,3, ,25962,14619,0.563092212,0
CLAY,12,12,16,23,31,41,29,29,33,38,44,41,"Henrietta, Petrolia, Bellevue, Byers, Jolly, Dean",9864,4407,0.446776156,1
TRINITY,40,40,40,40,40,40,40,40,40,40,0,0,"Trinity, Groveton, Pennington, Nigron, Josserand, Centrilia, Nogalus, Carlisle",13780,6181,0.448548621,1
WHARTON,28,40,40,40,40,40,28,28,56,56,56,40, ,38381,21747,0.566608478,0
HAYS,29,31,37,37,37,37,37,37,37,52,21,15, ,215316,144211,0.669764439,0
JASPER,29,37,37,37,37,37,37,37,37,37,27,0,"Jasper, Kirbyville, Bu , Evadale, Browndell",33485,13251,0.395729431,1
KERR,6,41,41,41,37,37,35,37,38,36,36,21, ,49889,25235,0.505822927,0
REEVES,0,0,8,8,8,37,37,37,37,32,3,0, ,15085,10443,0.692277096,0
WILLIAMSON,32,32,32,47,37,37,15,15,37,37,47,47, ,550405,402308,0.73093086,0
LAMB,13,46,47,46,47,35,47,47,47,47,47,47,"Olton, Littlefiedl",11653,5482,0.470436797,1
CORYELL,8,26,34,34,34,34,28,28,35,35,33,26,"Gatesville, Flat, Oglesby, South Mountain",70001,31666,0.452364966,1
HUNT,10,20,20,34,34,34,34,34,34,34,34,0,"Greenville, Quinlan, Caddo Mills, Commerce, Wolfe City, Lone Oak, Celeste, West Tawakoni, Campbell, Hawk Cove, Union Valley, Neylandville, Fairlie",91425,41749,0.456647525,1
PARMER,22,11,17,31,34,34,47,47,46,40,30,26,Frio ,8732,3878,0.444113605,1
RANDALL,25,34,34,35,34,34,34,34,34,34,21,21,Canyon,130190,62133,0.477248637,1
DIMMIT,25,25,31,33,33,33,15,14,32,32,28,8, ,9002,7404,0.822483892,0
CHAMBERS,26,26,35,35,35,32,32,35,35,35,35,15, ,41157,21561,0.523872002,0
WILBARGER,4,0,4,32,32,32,32,32,32,32,32,29, ,11606,6576,0.566603481,0
ZAVALA,34,36,38,38,38,31,37,42,28,65,59,65, ,11117,6056,0.544751282,0
COLORADO,13,17,11,11,11,30,30,30,30,30,30,26, ,20873,11179,0.53557227,0
GAINES,12,10,28,34,34,30,30,28,36,38,38,38,Seminole,19248,4660,0.242103076,1
BEE,17,21,29,29,29,29,11,4,4,4,4,20, ,31434,16312,0.518928549,0
BLANCO,10,19,19,19,19,29,19,19,19,19,9,6, ,11546,6086,0.527108955,0
MAVERICK,23,27,28,28,28,28,24,24,24,33,35,25, ,52877,53822,1.017871664,0
MIDLAND,22,24,28,28,28,28,6,6,6,6,28,28,"Midland, Odessa, Sandy Acres, Corner Windmill, Germania, Benge Corner, Cotton Flat, Warfield, Ridgehieghts, Greenwood, Bounce, Chub",162487,75039,0.461815407,1
CROCKETT,26,26,26,28,27,27,21,22,23,7,23,23,Ozo ,3240,1607,0.495987654,1
GONZALES,0,20,20,26,26,26,26,26,26,6,6,6, ,19255,10485,0.544533887,0
VICTORIA,6,28,28,24,22,26,32,32,32,32,32,22, ,85556,45157,0.527806349,0
ANDERSON,8,24,24,25,25,25,25,25,25,25,24,16,"Palestine, Elkhart, Tennessee Colony, Frankston, Denson Springs",55938,24221,0.432997247,1
JOHNSON,11,17,22,25,25,25,25,25,25,18,25,15,Cleburne,162636,80274,0.493580757,1
WEBB,9,20,20,32,32,25,29,30,30,32,36,13, ,258523,273157,1.056606182,0
GRAYSON,6,17,17,23,23,23,23,23,23,25,25,8,"Sherman, Denison, Whitesboro, Pottsboro, Guner, Howe, Bells, Collinsville, Sadler, Sherwood Shores, Gordonville, Tom Bean, Southmayd, Tiaga, Preston, Knollwood, Luella, Dorchester",127206,59114,0.464710784,1
LAMAR,22,22,28,28,23,23,25,31,31,20,17,40,"Paris, Reno, Blossom, Powderly, Roxton, Toco, Sun Valley",47316,19262,0.407092738,1
OLDHAM,18,20,25,25,26,23,23,19,19,26,30,25,Vega,2025,759,0.374814815,1
ELLIS,9,22,22,22,22,22,21,21,21,21,21,13, ,175792,98357,0.559507827,0
HANSFORD,8,12,12,22,14,22,22,22,22,22,22,18,"Spearman, Gruver",4952,2219,0.448101777,1
ARCHER,0,6,18,21,21,21,21,21,21,21,6,0,"Archer City, Holiday, Megargel, Scotland, Lakeside City, Dundee",8608,4109,0.477346654,1
CARSON,11,8,18,25,21,21,21,21,23,30,30,21,White Deer  Groom  Skellyton  Panhandle,5647,2060,0.364795467,1
NUECES,13,15,15,15,15,21,21,21,21,18,2,6, ,338006,207363,0.61348911,0
DEWITT,8,10,20,20,20,20,20,20,20,9,3,1,"Cuero, Nordheim, Yorktown, Yoakum",19388,9173,0.473127708,1
FORT BEND,6,20,20,20,26,20,25,37,37,37,37,24, ,752652,582495,0.773923407,0
LA SALLE,32,33,34,35,27,20,28,18,31,30,31,31, ,6981,4738,0.678699327,0
 VARRO,0,20,20,20,20,20,20,20,20,20,20,20,"Corsica ,  varro",48673,23415,0.481067532,1
NOLAN,15,15,17,17,17,20,5,5,5,6,21,23,"Roscoe, Sweetwater",13294,6405,0.481796299,1
HOUSTON,12,16,19,19,19,19,13,13,13,13,16,9,"Crockett, Grapeland, Lovelady, Latexo, Weches, Weldon",22096,9706,0.439265025,1
KARNES,0,0,18,18,18,18,18,18,18,18,18,0, ,14562,8587,0.589685483,0
TOM GREEN,11,11,16,7,14,18,18,18,18,18,19,19, ,110085,56555,0.513739383,0
CAMERON,0,17,17,17,17,17,17,17,17,17,17,0, ,393027,338977,0.862477641,0
CULBERSON,22,22,22,22,17,17,17,17,17,0,36,36, ,2052,1154,0.562378168,0
HALE,14,3,5,16,16,17,19,143,144,154,154,154,"Hale Center, Plainview, Petersburg, Cotton Center, Edmonson, Seth Ward",30742,14137,0.459859476,1
YOUNG,0,17,17,17,17,17,17,17,17,17,17,0,"Graham, Olney, Newcastle, Loving",17778,7452,0.41916976,1
DALLAS,0,0,1,16,16,16,16,16,16,16,16,0, ,2447080,1568577,0.640999477,0
DEAF SMITH,0,0,1,16,16,16,16,16,16,16,16,15,Hereford,17880,7906,0.442170022,1
MEDI ,0,14,16,16,16,16,16,16,16,16,17,1, ,50435,27895,0.553088133,0
POLK,17,17,22,22,22,16,16,16,12,12,17,5,"Livingston, Corrigan, O laska, Goodrich, Leggett, Moscow, West Livingston, Ace, Seven Oaks, Indian Springs, Dallardsville, Camden, Blanchard",47540,22022,0.463230963,1
COOKE,15,15,15,15,15,15,0,0,0,0,0,15,"Gainsville, Valley View, Muenster, Callisburg, Lindsay, Lake Kiowa, Oak Ridge, Rosston, Myra, Marysville, Bulcher, Woodbine",38006,15496,0.407725096,1
RAINS,18,18,15,15,15,15,0,0,20,20,20,20,"Point, Emory",11700,4600,0.393162393,1
TAYLOR,15,15,15,15,15,15,15,6,27,27,21,6,"Merkel, Tye, Tuscola, Abilene",129574,63290,0.488446756,1
WICHITA,0,11,11,26,30,15,15,15,15,21,21,10,"Iowa Park, Electra, Burkburnett, Cashion, Wichita Falls",124331,59612,0.479462081,1
BELL,7,11,14,14,14,14,14,14,14,14,7,14,"Bartlett, Harker Heights, Belton, Temple, Troy, Nolanville, Killeen",328913,156853,0.476882945,1
HUDSPETH,0,4,14,14,14,14,14,14,14,14,14,1, ,3434,3505,1.020675597,0
LLANO,11,15,19,19,19,14,19,19,19,19,17,17, ,20717,11293,0.545107882,0
FANNIN,9,9,13,13,13,13,13,4,13,13,13,13,"Bonham, Leo rd, Honey Grace, Ladonia, Savoy, Windom, Dodd City, Ector, Telephone, Trenton, Raven , Bailey",34201,14558,0.425660068,1
JEFFERSON,10,10,13,13,13,13,13,13,13,3,3,3, ,234510,124708,0.531781161,0
BOSQUE,0,12,12,12,12,12,12,12,12,12,12,0,"Clifton, Iredell, Cranfill, Morgan, Valley Walnut Spring, Meridian",17931,8500,0.474039373,1
CALLAHAN,0,0,12,12,12,12,12,12,12,12,12,12,"Baird  Clyde, Eula, Put m",13341,5227,0.391799715,1
COMAL,0,12,12,12,12,12,12,12,12,12,12,0, ,147234,94863,0.644300909,0
HILL,6,13,10,10,12,12,12,16,16,16,16,13,"Hillsboro, Whitney, Itasca, Hubbard, Aquilla, Blum, Abbott, Mount Calm, Covington, Malone, Penelope, Bynum, Mertens, Carl's Corner",34635,14768,0.42638949,1
YOAKUM,0,9,9,9,9,12,12,12,9,12,12,12,Plains and Denver City,8052,3479,0.432066567,1
BROWN,7,7,11,11,11,11,11,4,10,10,10,10,"Brownwood, Lake Brownwood, Early, Bangs, Blanket, Thunderbird Bay",36802,15926,0.43274822,1
MONTGOMERY,5,11,11,11,11,11,11,11,11,11,6,0, ,565636,341076,0.602995566,0
ROBERTSON,0,9,11,11,11,11,11,11,11,11,11,11,"Franlkin, Hearne, Calvert, Bremond, Wheelock, Mumford, Benchley",16606,7760,0.467300976,1
BANDERA,0,2,6,6,10,10,10,10,10,10,6,4,"Lakehills, Bandera",22089,10115,0.457920232,1
HOOD,0,0,7,10,10,10,10,10,10,10,10,10, ,57895,29672,0.512514034,0
KINNEY,8,8,8,10,10,10,6,5,8,8,8,8, ,3367,1829,0.543213543,0
LIMESTONE,10,10,10,10,10,10,10,10,0,5,17,17,"Groesbeck, Mexia, Kosse, Thornton, Coolidge, Tehuaca , Forest Glade",22294,9179,0.411725128,1
MCLEN N,2,7,8,7,7,10,10,10,10,10,12,6, ,237680,131159,0.551830192,0
SCURRY,1,1,11,10,10,10,10,10,10,10,10,12, ,15659,7994,0.510505141,0
DUVAL,5,9,9,9,9,9,4,9,9,9,9,5, ,10099,7191,0.712050698,0
HENDERSON,20,20,29,29,29,9,9,29,29,29,29,20,"Athens, Chandler, Malakoff, gun Barrel City, Eustace, Brownsboro, Trinidad, Seven Points, Payne Springs, Log Cabin, Murchison, Tool, Poyner, Coffee city, Enchanted Oaks, Caney City, Star Harbor, Berryville, Moore Station, Ruth Springs",78375,33076,0.422022329,1
PANOLA,7,10,16,14,14,9,9,9,9,9,7,7,"Carthage, Beckville, Gary City",22998,8350,0.36307505,1
SAN SABA,2,7,7,9,9,9,9,9,4,4,4,4,"San Saba, Richland Springs",5883,2354,0.400135985,1
WILSON,6,6,7,7,9,9,9,9,9,9,9,8, ,49092,26199,0.533671474,0
WOOD,0,0,9,9,9,9,9,9,9,9,9,8,"Quitman, Mineola, Hawkins, Yantis, Holley Lake Ranch",42722,19823,0.463999813,1
CAMP,0,0,8,8,8,8,8,8,0,0,0,0,"Pittsburg, Rocky Mound",12059,5505,0.456505515,1
ERATH,1,5,9,8,8,8,8,28,28,28,24,3,Stephenville Dublin,40616,15863,0.39056037,1
GUADALUPE,0,8,8,8,8,8,8,8,8,8,4,0, ,156063,90890,0.582393008,0
HUTCHINSON,0,5,8,8,8,8,8,8,8,8,8,6,"Stinnett, Fritch and Borger",19186,7239,0.377306369,1
ME RD,0,0,8,8,8,8,8,8,8,8,8,8, ,2027,1123,0.55402072,0
OCHILTREE,0,0,2,8,8,8,8,8,8,15,15,10,Perryton,9447,3731,0.394940193,1
REAGAN,6,6,6,4,6,8,9,9,8,8,8,6,Big Lake,3559,1553,0.436358528,1
BURNET,5,5,4,4,7,7,7,7,9,9,7,5, ,45824,25355,0.553312675,0
HARRIS,3,10,10,10,7,7,11,11,11,19,19,52, ,4345973,2956769,0.680346841,0
TYLER,2,7,7,7,7,7,7,7,7,7,7,0,"Warren, Chester and Woodville",21553,8103,0.375956943,1
BURLESON,0,0,6,6,6,6,6,6,6,6,6,0, ,17290,8821,0.510179294,0
EDWARDS,5,5,6,6,6,6,6,6,6,6,4,4,Rocksprings,1851,764,0.412749865,1
KIMBLE,0,0,6,6,6,6,6,6,6,6,6,6,Junction,4341,1820,0.419258235,1
LUBBOCK,15,15,21,21,6,6,6,6,21,54,54,49, ,288997,148118,0.512524351,0
MCCULLOCH,0,3,6,6,6,6,6,6,6,6,6,3,"Brady, Melvin",7830,3107,0.396807152,1
MILLS,6,6,6,6,6,6,6,6,0,0,3,3,"Goldthwaite, Mullin",4638,2082,0.448900388,1
RED RIVER,11,10,10,10,10,6,5,6,16,16,16,16,"Clarksville, Bogata, Detroit, Avery, Anno ",10981,4740,0.431654676,1
SAN AUGUSTINE,3,3,6,6,6,6,6,6,6,6,6,0,"San Augustine, Broaddus",8001,3523,0.44031996,1
TERRY,3,5,3,5,7,6,86,86,87,87,7,3,"Brownfield, Meadow, Wellman",11643,5082,0.436485442,1
ARMSTRONG,5,5,5,5,5,5,0,0,0,0,0,0,Washburn  Claude,1917,726,0.378716745,1
FALLS,3,4,4,4,5,5,5,5,9,6,6,5,"Marlin, Rosebud, Lott, Chilton, Reagan, Mooreville, Cedar Springs, Westphalia, Satin, Perry, Barclay, Cego",16414,8024,0.488850981,1
HASKELL,0,0,0,0,0,5,5,5,5,5,5,5,"Haskell, Rochester, Weinert, Paint Creek, Rule, O'Brien, Sagerton",5327,2151,0.403792003,1
IRION,4,2,2,5,5,5,7,7,7,5,7,7,"Mertzon, Sherwood, Barnhard",1514,666,0.43989432,1
KING,0,0,5,5,5,5,5,5,5,5,5,5,Guthrie,255,48,0.188235294,1
SCHLEICHER,5,5,5,5,5,5,5,5,5,5,5,5,Eldorado,2678,1298,0.484690067,1
VAL VERDE,5,5,5,5,5,5,5,5,5,2,3,3, ,46723,34505,0.73850138,0
BREWSTER,0,4,4,4,4,4,4,4,4,4,4,0, ,8490,5056,0.595524146,0
DAWSON,1,1,5,4,4,4,4,4,4,8,8,9,Welch Lamesa,11887,4389,0.369226887,1
GRAY,0,4,4,4,4,4,4,4,4,4,4,4,"Pampa, Lefors, McLean",20598,8685,0.421642878,1
HAMILTON,4,4,8,8,4,4,8,10,10,10,6,6, ,8101,4205,0.51907172,0
KENDALL,4,4,4,4,4,4,0,0,4,4,14,14, ,44851,29409,0.655704444,0
LAVACA,0,0,4,4,4,4,4,4,4,4,4,4,"Halletsville, Moulton, Shiner",19126,8914,0.466067134,1
MASON,0,4,4,4,4,4,4,4,4,4,4,0, ,4080,2118,0.519117647,0
MCMULLEN,6,8,10,10,7,4,4,10,10,10,10,9,Tilden,709,328,0.462623413,1
MITCHELL,0,0,4,4,4,4,4,4,4,18,18,18,"Loraine, Westbrook, Colorado City",8061,3114,0.386304429,1
SAN PATRICIO,4,4,4,4,4,4,4,5,5,2,2,2, ,61976,37399,0.603443268,0
STERLING,4,4,4,4,4,4,4,0,0,4,4,4,Sterling City,1184,505,0.42652027,1
AUSTIN,5,5,5,5,5,3,3,3,4,4,4,2,"Beeville, Sealy",30193,14645,0.485046203,1
CROSBY,6,2,2,3,3,3,3,3,7,9,9,9,"Ralls, Lorenzo, Cone and Crosbyton",5325,2552,0.479248826,1
FAYETTE,3,3,3,3,3,3,3,3,3,3,3,0, ,24803,13099,0.528121598,0
FLOYD,0,3,3,3,3,3,3,3,3,3,3,3,"Lockney, Dougherty, Floydada",5141,2495,0.485314141,1
KENEDY,0,0,0,0,0,3,3,3,7,7,7,4, ,369,218,0.590785908,0
